symbol,et,o,h,l,c,v,vwap,avwap
AAPL,2025-09-05 09:30:00-04:00,239.995,240.0,239.57,239.69,11885.0,239.69,239.69
AAPL,2025-09-05 09:31:00-04:00,239.925,240.39,239.58,239.63,22066.0,239.65100379959355,239.65100379959355
AAPL,2025-09-05 09:32:00-04:00,239.53,239.92,239.21,239.725,10465.0,239.66843828800432,239.66843828800432
AAPL,2025-09-05 09:33:00-04:00,239.91,240.31,239.89,240.14,10092.0,239.75574658765686,239.75574658765686
AAPL,2025-09-05 09:34:00-04:00,240.25,240.59,239.92,240.06,9873.0,239.80240466907938,239.80240466907938
AAPL,2025-09-05 09:35:00-04:00,239.995,240.35,239.76,240.26,23166.0,239.92348995396756,239.92348995396756
AAPL,2025-09-05 09:36:00-04:00,240.32,240.345,239.43,239.45,18509.0,239.84085601003244,239.84085601003244
AAPL,2025-09-05 09:37:00-04:00,239.46,240.055,239.45,239.94,9298.0,239.84884741751478,239.84884741751478
AAPL,2025-09-05 09:38:00-04:00,239.99,240.13,239.66,240.0,16632.0,239.86789466307033,239.86789466307033
AAPL,2025-09-05 09:39:00-04:00,239.985,240.34,239.97,240.155,13555.0,239.89463429549062,239.89463429549062
AAPL,2025-09-05 09:40:00-04:00,239.97,240.48,239.97,240.43,10929.0,239.93202812040644,239.93202812040644
AAPL,2025-09-05 09:41:00-04:00,240.44,240.61,240.0,240.04,18042.0,239.94319084074445,239.94319084074445
AAPL,2025-09-05 09:42:00-04:00,239.95,240.12,239.845,240.0,2851.0,239.94410401267456,239.94410401267456
AAPL,2025-09-05 09:43:00-04:00,240.18,240.18,239.66,239.72,6493.0,239.93618962666434,239.93618962666434
AAPL,2025-09-05 09:44:00-04:00,239.62,239.75,239.53,239.65,1984.0,239.93313430908307,239.93313430908307
AAPL,2025-09-05 09:45:00-04:00,239.6,239.825,239.565,239.825,3405.0,239.93118869719146,239.93118869719146
AAPL,2025-09-05 09:46:00-04:00,239.89,240.44,239.85,240.39,5270.0,239.94361928385985,239.94361928385985
AAPL,2025-09-05 09:47:00-04:00,240.43,240.55,240.2,240.4,9214.0,239.96425989917978,239.96425989917978
AAPL,2025-09-05 09:48:00-04:00,240.45,240.55,240.085,240.17,4286.0,239.96849902651252,239.96849902651252
AAPL,2025-09-05 09:49:00-04:00,240.19,240.47,240.19,240.46,4378.0,239.97863020438527,239.97863020438527
AAPL,2025-09-05 09:50:00-04:00,240.52,240.535,240.265,240.49,3747.0,239.98749530396964,239.98749530396964
AAPL,2025-09-05 09:51:00-04:00,240.5,240.63,240.37,240.51,7561.0,240.00515574360418,240.00515574360418
AAPL,2025-09-05 09:52:00-04:00,240.45,240.45,240.04,240.07,6467.0,240.00697766414095,240.00697766414095
AAPL,2025-09-05 09:53:00-04:00,239.94,240.215,239.94,240.0,5224.0,240.00682281046085,240.00682281046085
AAPL,2025-09-05 09:54:00-04:00,240.08,240.18,240.01,240.1,3139.0,240.00804899572802,240.00804899572802
AAPL,2025-09-05 09:55:00-04:00,240.14,240.14,239.93,239.93,3751.0,240.00684064437309,240.00684064437309
AAPL,2025-09-05 09:56:00-04:00,239.96,240.21,239.81,240.17,4551.0,240.00984890594043,240.00984890594043
AAPL,2025-09-05 09:57:00-04:00,240.21,240.21,239.77,239.82,6056.0,240.0053025438038,240.0053025438038
AAPL,2025-09-05 09:58:00-04:00,239.8,240.06,239.68,240.01,5789.0,240.00540766899388,240.00540766899388
AAPL,2025-09-05 09:59:00-04:00,240.03,240.09,239.95,240.09,4594.0,240.0068837741955,240.0068837741955
AAPL,2025-09-05 10:00:00-04:00,240.085,240.235,239.865,240.235,10952.0,240.01599431486667,240.01599431486667
AAPL,2025-09-05 10:01:00-04:00,240.18,240.47,240.11,240.4,13174.0,240.03359670213433,240.03359670213433
AAPL,2025-09-05 10:02:00-04:00,240.39,240.75,240.39,240.68,11419.0,240.05829837325186,240.05829837325186
AAPL,2025-09-05 10:03:00-04:00,240.565,240.59,240.235,240.41,6833.0,240.06616088663506,240.06616088663506
AAPL,2025-09-05 10:04:00-04:00,240.42,240.73,240.42,240.7,7383.0,240.08111021841148,240.08111021841148
AAPL,2025-09-05 10:05:00-04:00,240.7,240.78,240.61,240.68,8025.0,240.09607975817454,240.09607975817454
AAPL,2025-09-05 10:06:00-04:00,240.725,240.92,240.65,240.65,10607.0,240.11379471756138,240.11379471756138
AAPL,2025-09-05 10:07:00-04:00,240.66,241.04,240.66,240.93,10319.0,240.13842283557125,240.13842283557125
AAPL,2025-09-05 10:08:00-04:00,240.94,240.95,240.765,240.84,9285.0,240.1569674380603,240.1569674380603
AAPL,2025-09-05 10:09:00-04:00,240.835,241.17,240.835,241.09,13840.0,240.1923354258591,240.1923354258591
AAPL,2025-09-05 10:10:00-04:00,241.07,241.21,240.91,241.16,13112.0,240.22588199756225,240.22588199756225
AAPL,2025-09-05 10:11:00-04:00,241.16,241.245,241.04,241.22,8305.0,240.24724188023575,240.24724188023575
AAPL,2025-09-05 10:12:00-04:00,241.29,241.32,241.01,241.1,6816.0,240.2620188411103,240.2620188411103
AAPL,2025-09-05 10:13:00-04:00,241.03,241.21,240.975,241.0,8983.0,240.27849627788478,240.27849627788478
AAPL,2025-09-05 10:14:00-04:00,240.98,240.98,240.715,240.76,9925.0,240.29008857489387,240.29008857489387
AAPL,2025-09-05 10:15:00-04:00,240.71,240.8,240.48,240.48,11393.0,240.2951958488633,240.2951958488633
AAPL,2025-09-05 10:16:00-04:00,240.47,240.54,240.19,240.255,14067.0,240.2939040460579,240.2939040460579
AAPL,2025-09-05 10:17:00-04:00,240.19,240.19,239.91,239.91,19462.0,240.2775610929803,240.2775610929803
AAPL,2025-09-05 10:18:00-04:00,239.91,239.96,239.47,239.515,15387.0,240.2527313309026,240.2527313309026
AAPL,2025-09-05 10:19:00-04:00,239.585,239.61,239.175,239.2,10929.0,240.22893487532266,240.22893487532266
AAPL,2025-09-05 10:20:00-04:00,239.205,239.585,239.15,239.54,5554.0,240.22111071237234,240.22111071237234
AAPL,2025-09-05 10:21:00-04:00,239.59,239.63,239.41,239.6,15406.0,240.20214179657765,240.20214179657765
AAPL,2025-09-05 10:22:00-04:00,239.57,239.7,239.3,239.3,6826.0,240.190097335284,240.190097335284
AAPL,2025-09-05 10:23:00-04:00,239.35,239.77,239.35,239.75,13796.0,240.1785339573771,240.1785339573771
AAPL,2025-09-05 10:24:00-04:00,239.76,239.9,239.71,239.735,7530.0,240.17226319001128,240.17226319001128
AAPL,2025-09-05 10:25:00-04:00,239.8,239.94,239.65,239.82,7830.0,240.16715943785502,240.16715943785502
AAPL,2025-09-05 10:26:00-04:00,239.825,239.825,239.545,239.73,9942.0,240.15926252607326,240.15926252607326
AAPL,2025-09-05 10:27:00-04:00,239.665,239.665,239.41,239.45,5864.0,240.15178527639347,240.15178527639347
AAPL,2025-09-05 10:28:00-04:00,239.445,239.55,239.275,239.41,7770.0,240.14156610922578,240.14156610922578
AAPL,2025-09-05 10:29:00-04:00,239.48,239.72,239.34,239.34,11262.0,240.12587387965263,240.12587387965263
AAPL,2025-09-05 10:30:00-04:00,239.25,239.5,239.25,239.31,19365.0,240.09930388155385,240.09930388155385
AAPL,2025-09-05 10:31:00-04:00,239.17,239.59,239.12,239.48,6735.0,240.09236800927218,240.09236800927218
AAPL,2025-09-05 10:32:00-04:00,239.435,239.53,239.365,239.37,16540.0,240.0730318510199,240.0730318510199
AAPL,2025-09-05 10:33:00-04:00,239.36,239.38,238.99,239.12,5269.0,240.06497390789457,240.06497390789457
AAPL,2025-09-05 10:34:00-04:00,239.1,239.14,239.03,239.055,4593.0,240.05758456122462,240.05758456122462
AAPL,2025-09-05 10:35:00-04:00,239.07,239.07,238.91,238.92,6899.0,240.0452187518218,240.0452187518218
AAPL,2025-09-05 10:36:00-04:00,238.85,239.11,238.84,238.99,4117.0,240.0384178269405,240.0384178269405
AAPL,2025-09-05 10:37:00-04:00,238.97,239.19,238.97,239.19,4473.0,240.0325182236082,240.0325182236082
AAPL,2025-09-05 10:38:00-04:00,239.295,239.295,239.08,239.08,3146.0,240.02788239571166,240.02788239571166
AAPL,2025-09-05 10:39:00-04:00,239.01,239.03,238.89,239.03,3430.0,240.02261531004024,240.02261531004024
AAPL,2025-09-05 10:40:00-04:00,239.075,239.19,239.02,239.16,3401.0,240.01812420013593,240.01812420013593
AAPL,2025-09-05 10:41:00-04:00,239.06,239.06,238.92,238.92,5218.0,240.00942197936376,240.00942197936376
AAPL,2025-09-05 10:42:00-04:00,238.97,239.01,238.81,239.0,6778.0,239.99913705293793,239.99913705293793
AAPL,2025-09-05 10:43:00-04:00,239.0,239.045,238.95,239.045,3358.0,239.9943448899924,239.9943448899924
AAPL,2025-09-05 10:44:00-04:00,239.0,239.07,238.945,239.0,7537.0,239.98326061523946,239.98326061523946
AAPL,2025-09-05 10:45:00-04:00,239.01,239.01,238.885,238.885,4582.0,239.9758679847042,239.9758679847042
AAPL,2025-09-05 10:46:00-04:00,238.925,238.94,238.79,238.89,9281.0,239.96126206176902,239.96126206176902
AAPL,2025-09-05 10:47:00-04:00,238.89,239.0,238.815,238.93,10355.0,239.94601426439823,239.94601426439823
AAPL,2025-09-05 10:48:00-04:00,238.88,238.96,238.81,238.81,6506.0,239.9355581586501,239.9355581586501
AAPL,2025-09-05 10:49:00-04:00,238.81,238.915,238.73,238.86,3814.0,239.92978584846585,239.92978584846585
AAPL,2025-09-05 10:50:00-04:00,238.87,238.92,238.65,238.65,4045.0,239.92254272362214,239.92254272362214
AAPL,2025-09-05 10:51:00-04:00,238.67,238.805,238.63,238.71,7744.0,239.90954545202877,239.90954545202877
AAPL,2025-09-05 10:52:00-04:00,238.76,239.05,238.76,239.05,12438.0,239.89499770034237,239.89499770034237
AAPL,2025-09-05 10:53:00-04:00,239.06,239.43,239.06,239.43,4654.0,239.89207144653614,239.89207144653614
AAPL,2025-09-05 10:54:00-04:00,239.355,239.38,239.31,239.38,4017.0,239.88930504879883,239.88930504879883
AAPL,2025-09-05 10:55:00-04:00,239.37,239.38,239.23,239.275,5898.0,239.88447067959507,239.88447067959507
AAPL,2025-09-05 10:56:00-04:00,239.255,239.295,239.05,239.05,3941.0,239.88010561426702,239.88010561426702
AAPL,2025-09-05 10:57:00-04:00,239.16,239.16,239.0,239.0,5090.0,239.8741995037522,239.8741995037522
AAPL,2025-09-05 10:58:00-04:00,239.02,239.02,238.86,238.86,2448.0,239.87093674928377,239.87093674928377
AAPL,2025-09-05 10:59:00-04:00,238.85,239.01,238.82,239.0,4933.0,239.8653270320275,239.8653270320275
AAPL,2025-09-05 11:00:00-04:00,239.01,239.04,238.93,239.035,2574.0,239.86254575787268,239.86254575787268
AAPL,2025-09-05 11:01:00-04:00,239.01,239.02,238.95,238.97,5968.0,239.85566738764098,239.85566738764098
AAPL,2025-09-05 11:02:00-04:00,238.91,239.02,238.885,239.015,1189.0,239.85437864554592,239.85437864554592
AAPL,2025-09-05 11:03:00-04:00,238.95,239.015,238.92,238.94,3997.0,239.84969064303408,239.84969064303408
AAPL,2025-09-05 11:04:00-04:00,238.93,239.1,238.875,239.01,11459.0,239.8375271976841,239.8375271976841
AAPL,2025-09-05 11:05:00-04:00,239.01,239.07,238.97,238.98,5259.0,239.83186397034356,239.83186397034356
AAPL,2025-09-05 11:06:00-04:00,239.01,239.2,238.98,239.13,3288.0,239.82897789163928,239.82897789163928
AAPL,2025-09-05 11:07:00-04:00,239.04,239.07,238.82,238.82,17824.0,239.80697723110572,239.80697723110572
AAPL,2025-09-05 11:08:00-04:00,238.86,238.92,238.825,238.88,2955.0,239.80363829343747,239.80363829343747
AAPL,2025-09-05 11:09:00-04:00,238.85,239.045,238.83,239.045,3719.0,239.80021472991913,239.80021472991913
AAPL,2025-09-05 11:10:00-04:00,238.98,239.015,238.915,239.015,7589.0,239.79304984164847,239.79304984164847
AAPL,2025-09-05 11:11:00-04:00,239.05,239.37,239.05,239.37,4089.0,239.7909801048837,239.7909801048837
AAPL,2025-09-05 11:12:00-04:00,239.36,239.36,239.295,239.325,5467.0,239.78795185735513,239.78795185735513
AAPL,2025-09-05 11:13:00-04:00,239.4,239.49,239.38,239.38,3451.0,239.78628518256755,239.78628518256755
AAPL,2025-09-05 11:14:00-04:00,239.38,239.485,239.27,239.48,4882.0,239.78452516116732,239.78452516116732
AAPL,2025-09-05 11:15:00-04:00,239.44,239.55,239.41,239.55,4655.0,239.78324716296865,239.78324716296865
AAPL,2025-09-05 11:16:00-04:00,239.54,239.72,239.53,239.65,4152.0,239.78260265147543,239.78260265147543
AAPL,2025-09-05 11:17:00-04:00,239.67,239.67,239.55,239.62,3147.0,239.78200870072905,239.78200870072905
AAPL,2025-09-05 11:18:00-04:00,239.59,239.6,239.5,239.53,1631.0,239.78153251742418,239.78153251742418
AAPL,2025-09-05 11:19:00-04:00,239.51,239.55,239.47,239.51,3008.0,239.7805895568568,239.7805895568568
AAPL,2025-09-05 11:20:00-04:00,239.5,239.63,239.475,239.63,4918.0,239.77973936222728,239.77973936222728
AAPL,2025-09-05 11:21:00-04:00,239.655,239.655,239.485,239.59,10147.0,239.77755461899753,239.77755461899753
AAPL,2025-09-05 11:22:00-04:00,239.56,239.67,239.56,239.63,3208.0,239.77701942113114,239.77701942113114
AAPL,2025-09-05 11:23:00-04:00,239.61,239.82,239.61,239.82,4233.0,239.77722414767035,239.77722414767035
AAPL,2025-09-05 11:24:00-04:00,239.83,239.94,239.83,239.935,14577.0,239.77977037040316,239.77977037040316
AAPL,2025-09-05 11:25:00-04:00,240.0,240.13,239.865,239.865,10758.0,239.7807735250001,239.7807735250001
AAPL,2025-09-05 11:26:00-04:00,239.865,240.01,239.67,240.01,14053.0,239.78424451280614,239.78424451280614
AAPL,2025-09-05 11:27:00-04:00,239.955,240.0,239.86,240.0,3100.0,239.78496279411922,239.78496279411922
AAPL,2025-09-05 11:28:00-04:00,240.09,240.09,239.85,239.855,3185.0,239.78520153474855,239.78520153474855
AAPL,2025-09-05 11:29:00-04:00,239.875,240.02,239.825,239.825,2679.0,239.78531531940143,239.78531531940143
AAPL,2025-09-05 11:30:00-04:00,239.85,239.97,239.845,239.96,6566.0,239.78653085523524,239.78653085523524
AAPL,2025-09-05 11:31:00-04:00,239.97,240.05,239.95,239.99,2770.0,239.78712640404916,239.78712640404916
AAPL,2025-09-05 11:32:00-04:00,239.99,240.01,239.81,239.88,6903.0,239.78779893587668,239.78779893587668
AAPL,2025-09-05 11:33:00-04:00,239.88,240.09,239.865,239.955,18173.0,239.79092679366633,239.79092679366633
AAPL,2025-09-05 11:34:00-04:00,239.94,239.98,239.88,239.98,6824.0,239.792245688818,239.792245688818
AAPL,2025-09-05 11:35:00-04:00,240.045,240.18,240.045,240.13,4822.0,239.79390235094985,239.79390235094985
AAPL,2025-09-05 11:36:00-04:00,240.12,240.12,239.98,240.06,7456.0,239.7959053069614,239.7959053069614
AAPL,2025-09-05 11:37:00-04:00,240.04,240.14,240.04,240.1,3979.0,239.79712195847875,239.79712195847875
AAPL,2025-09-05 11:38:00-04:00,240.12,240.28,240.06,240.06,5024.0,239.7984432510197,239.7984432510197
AAPL,2025-09-05 11:39:00-04:00,240.09,240.11,240.02,240.07,8529.0,239.8007407943814,239.8007407943814
AAPL,2025-09-05 11:40:00-04:00,240.05,240.17,239.955,240.17,2974.0,239.80182696473184,239.80182696473184
AAPL,2025-09-05 11:41:00-04:00,240.21,240.28,240.15,240.265,4440.0,239.80385207593545,239.80385207593545
AAPL,2025-09-05 11:42:00-04:00,240.24,240.31,240.24,240.28,4692.0,239.8060419570549,239.8060419570549
AAPL,2025-09-05 11:43:00-04:00,240.28,240.315,240.06,240.14,6123.0,239.80803436391963,239.80803436391963
AAPL,2025-09-05 11:44:00-04:00,240.12,240.24,240.05,240.05,2396.0,239.80859793624023,239.80859793624023
AAPL,2025-09-05 11:45:00-04:00,240.04,240.04,239.85,239.85,6029.0,239.80883917026017,239.80883917026017
AAPL,2025-09-05 11:46:00-04:00,239.8,239.89,239.67,239.675,3391.0,239.80840198916314,239.80840198916314
AAPL,2025-09-05 11:47:00-04:00,239.7,239.72,239.56,239.56,2354.0,239.80783999965402,239.80783999965402
AAPL,2025-09-05 11:48:00-04:00,239.435,239.47,239.39,239.39,1713.0,239.80715321648987,239.80715321648987
AAPL,2025-09-05 11:49:00-04:00,239.42,239.46,239.4,239.41,1859.0,239.80644605962735,239.80644605962735
AAPL,2025-09-05 11:50:00-04:00,239.41,239.45,239.255,239.29,3396.0,239.8047716543176,239.8047716543176
AAPL,2025-09-05 11:51:00-04:00,239.35,239.38,239.31,239.335,1191.0,239.80423810695396,239.80423810695396
AAPL,2025-09-05 11:52:00-04:00,239.4,239.4,239.24,239.31,4723.0,239.80202207030638,239.80202207030638
AAPL,2025-09-05 11:53:00-04:00,239.305,239.31,239.11,239.11,3173.0,239.79994377843022,239.79994377843022
AAPL,2025-09-05 11:54:00-04:00,239.1,239.15,239.1,239.15,1354.0,239.7991119097674,239.7991119097674
AAPL,2025-09-05 11:55:00-04:00,239.18,239.22,239.16,239.16,993.0,239.79851256184594,239.79851256184594
AAPL,2025-09-05 11:56:00-04:00,239.22,239.35,239.22,239.25,2588.0,239.79717521661019,239.79717521661019
AAPL,2025-09-05 11:57:00-04:00,239.245,239.25,239.02,239.02,5824.0,239.79293433012302,239.79293433012302
